Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,30.100000,30.260000,30.100000,30.209999,30.209999,22300
2017-12-19,30.129999,30.299999,30.059999,30.070000,30.070000,150500
2017-12-20,30.100000,30.230000,30.090000,30.150000,30.150000,62600
2017-12-21,30.180000,30.280001,30.150000,30.230000,30.230000,28600
2017-12-22,30.150000,30.280001,30.020000,30.070000,30.070000,18100
2017-12-26,30.129999,30.240000,30.129999,30.160000,30.160000,19200
2017-12-27,30.209999,30.340000,30.150000,30.230000,30.230000,29000
2017-12-28,30.340000,30.420000,30.180000,30.360001,30.360001,20300
2017-12-29,30.440001,30.490000,30.270000,30.270000,30.270000,21300
2018-01-02,30.370001,30.400000,30.170000,30.280001,30.280001,34700
2018-01-03,30.260000,30.389999,30.190001,30.379999,30.379999,48000
2018-01-04,30.400000,30.540001,30.400000,30.440001,30.440001,18700
2018-01-05,30.440001,30.549999,30.299999,30.510000,30.510000,57100
2018-01-08,30.500000,30.770000,30.500000,30.750000,30.750000,68600
2018-01-09,30.820000,30.950001,30.780001,30.790001,30.790001,24300
2018-01-10,30.799999,30.799999,30.450001,30.530001,30.530001,42100
2018-01-11,30.670000,30.969999,30.610001,30.950001,30.950001,68800
2018-01-12,30.959999,31.100000,30.959999,31.030001,31.030001,23500
2018-01-16,30.959999,31.289900,30.799999,30.919901,30.919901,60290
